Date,Product,Quantity,Advertising,Sales,Profit
2026-01-10,Laptop,2,10000,150000,30000
2026-01-15,Phone,5,5000,80000,20000
2026-02-05,Keyboard,10,2000,25000,5000
2026-02-18,Mouse,15,1000,15000,3000
2026-03-12,Monitor,3,4000,50000,12000
2026-03-20,Phone,4,4500,70000,18000
2026-04-02,Laptop,1,7000,75000,15000
2026-04-10,Keyboard,7,1800,20000,4000
2026-05-05,Mouse,12,1200,18000,3500
2026-05-22,Monitor,2,3500,40000,10000
2026-06-01,Phone,6,6000,95000,25000
2026-06-15,Laptop,3,15000,225000,50000
2026-07-05,Monitor,4,5000,85000,20000
2026-07-18,Keyboard,8,2500,30000,7000
2026-08-03,Mouse,20,1500,25000,5000
2026-08-15,Laptop,2,12000,180000,40000
2026-09-01,Phone,7,6500,100000,27000
2026-09-12,Monitor,5,5500,90000,22000
2026-10-03,Keyboard,9,3000,35000,8000
2026-10-20,Mouse,18,1700,28000,6000
